,Country/Region,Province/State,Admin2,Combined_Key,Last Update,Latitude,Longitude,Confirmed,Deaths,Recovered,Active
95,Mainland China,Anhui,,,1/24/2020 17:00,,,15,,,
96,Mainland China,Fujian,,,1/24/2020 17:00,,,10,,,
97,Mainland China,Henan,,,1/24/2020 17:00,,,9,,,
98,Mainland China,Jiangsu,,,1/24/2020 17:00,,,9,,,
99,Mainland China,Hainan,,,1/24/2020 17:00,,,8,,,
100,Mainland China,Tianjin,,,1/24/2020 17:00,,,8,,,
101,Mainland China,Yunnan,,,1/24/2020 17:00,,,5,,,
102,Mainland China,Shaanxi,,,1/24/2020 17:00,,,5,,,
103,Mainland China,Heilongjiang,,,1/24/2020 17:00,,,4,1,,
104,Mainland China,Liaoning,,,1/24/2020 17:00,,,4,,,
105,Mainland China,Guizhou,,,1/24/2020 17:00,,,3,,,
106,Mainland China,Jilin,,,1/24/2020 17:00,,,3,,,
107,Taiwan,Taiwan,,,1/24/2020 17:00,,,3,,,
108,Mainland China,Ningxia,,,1/24/2020 17:00,,,2,,,
109,Hong Kong,Hong Kong,,,1/24/2020 17:00,,,2,,,
110,Macau,Macau,,,1/24/2020 17:00,,,2,,,
111,Mainland China,Hebei,,,1/24/2020 17:00,,,2,1,,
112,Mainland China,Gansu,,,1/24/2020 17:00,,,2,,,
113,Mainland China,Xinjiang,,,1/24/2020 17:00,,,2,,,
114,Mainland China,Shanxi,,,1/24/2020 17:00,,,1,,,
115,Mainland China,Inner Mongolia,,,1/24/2020 17:00,,,1,,,
116,Mainland China,Qinghai,,,1/24/2020 17:00,,,,,,
117,US,Washington,,,1/24/2020 17:00,,,1,,,
118,US,Chicago,,,1/24/2020 17:00,,,1,,,
119,Japan,,,,1/24/2020 17:00,,,2,,,
120,Thailand,,,,1/24/2020 17:00,,,5,,,
121,South Korea,,,,1/24/2020 17:00,,,2,,,
122,Singapore,,,,1/24/2020 17:00,,,3,,,
123,Vietnam,,,,1/24/2020 17:00,,,2,,,
124,France,,,,1/24/2020 17:00,,,2,,,
125,Mainland China,Hubei,,,1/25/2020 17:00,,,761,40,32,
126,Mainland China,Guangdong,,,1/25/2020 17:00,,,78,,2,
127,Mainland China,Zhejiang,,,1/25/2020 17:00,,,62,,1,
128,Mainland China,Chongqing,,,1/25/2020 17:00,,,57,,,
129,Mainland China,Hunan,,,1/25/2020 17:00,,,43,,,
130,Mainland China,Beijing,,,1/25/2020 17:00,,,41,,2,
131,Mainland China,Anhui,,,1/25/2020 17:00,,,39,,,
132,Mainland China,Shanghai,,,1/25/2020 17:00,,,33,,1,
133,Mainland China,Henan,,,1/25/2020 17:00,,,32,,,
134,Mainland China,Sichuan,,,1/25/2020 17:00,,,28,,,
135,Mainland China,Shandong,,,1/25/2020 17:00,,,27,,,
136,Mainland China,Guangxi,,,1/25/2020 17:00,,,23,,,
137,Mainland China,Hainan,,,1/25/2020 17:00,,,19,,,
138,Mainland China,Jiangxi,,,1/25/2020 17:00,,,18,,,
139,Mainland China,Fujian,,,1/25/2020 17:00,,,18,,,
140,Mainland China,Jiangsu,,,1/25/2020 17:00,,,18,,1,
141,Mainland China,Liaoning,,,1/25/2020 17:00,,,17,,,
142,Mainland China,Shaanxi,,,1/25/2020 17:00,,,15,,,
143,Mainland China,Yunnan,,,1/25/2020 17:00,,,11,,,
144,Mainland China,Tianjin,,,1/25/2020 17:00,,,10,,,
145,Mainland China,Heilongjiang,,,1/25/2020 17:00,,,9,1,,
146,Mainland China,Hebei,,,1/25/2020 17:00,,,8,1,,
147,Mainland China,Inner Mongolia,,,1/25/2020 17:00,,,7,,,
148,Mainland China,Shanxi,,,1/25/2020 17:00,,,6,,,
149,Hong Kong,Hong Kong,,,1/25/2020 17:00,,,5,,,
150,Mainland China,Guizhou,,,1/25/2020 17:00,,,4,,,
151,Mainland China,Jilin,,,1/25/2020 17:00,,,4,,,
152,Mainland China,Gansu,,,1/25/2020 17:00,,,4,,,
153,Mainland China,Ningxia,,,1/25/2020 17:00,,,3,,,
154,Taiwan,Taiwan,,,1/25/2020 17:00,,,3,,,
155,Mainland China,Xinjiang,,,1/25/2020 17:00,,,3,,,
156,Macau,Macau,,,1/25/2020 17:00,,,2,,,
157,Mainland China,Qinghai,,,1/25/2020 17:00,,,1,,,
158,US,Washington,,,1/25/2020 17:00,,,1,,,
159,US,Illinois,,,1/25/2020 17:00,,,1,,,
160,Japan,,,,1/25/2020 17:00,,,2,,,
161,Thailand,,,,1/25/2020 17:00,,,7,,,
162,South Korea,,,,1/25/2020 17:00,,,2,,,
163,Singapore,,,,1/25/2020 17:00,,,3,,,
164,Vietnam,,,,1/25/2020 17:00,,,2,,,
165,France,,,,1/25/2020 17:00,,,3,,,
166,Australia,,,,1/25/2020 17:00,,,4,,,
167,Nepal,,,,1/25/2020 17:00,,,1,,,
168,Malaysia,,,,1/25/2020 17:00,,,3,,,
169,Mainland China,Hubei,,,1/26/2020 16:00,,,1058,52,42,
170,Mainland China,Guangdong,,,1/26/2020 16:00,,,111,,2,
171,Mainland China,Zhejiang,,,1/26/2020 16:00,,,104,,1,
172,Mainland China,Henan,,,1/26/2020 16:00,,,83,1,,
173,Mainland China,Chongqing,,,1/26/2020 16:00,,,75,,,
174,Mainland China,Hunan,,,1/26/2020 16:00,,,69,,,
175,Mainland China,Beijing,,,1/26/2020 16:00,,,68,,2,
176,Mainland China,Anhui,,,1/26/2020 16:00,,,60,,,
177,Mainland China,Shandong,,,1/26/2020 16:00,,,46,,,
178,Mainland China,Sichuan,,,1/26/2020 16:00,,,44,,,
179,Mainland China,Shanghai,,,1/26/2020 16:00,,,40,1,1,
180,Mainland China,Guangxi,,,1/26/2020 16:00,,,36,,,
181,Mainland China,Jiangxi,,,1/26/2020 16:00,,,36,,,
182,Mainland China,Fujian,,,1/26/2020 16:00,,,35,,,
183,Mainland China,Jiangsu,,,1/26/2020 16:00,,,33,,1,
184,Mainland China,Hainan,,,1/26/2020 16:00,,,22,,,
185,Mainland China,Shaanxi,,,1/26/2020 16:00,,,22,,,
186,Mainland China,Liaoning,,,1/26/2020 16:00,,,21,,,
187,Mainland China,Yunnan,,,1/26/2020 16:00,,,16,,,
188,Mainland China,Heilongjiang,,,1/26/2020 16:00,,,15,1,,
189,Mainland China,Tianjin,,,1/26/2020 16:00,,,14,,,
190,Mainland China,Hebei,,,1/26/2020 16:00,,,13,1,,
191,Mainland China,Shanxi,,,1/26/2020 16:00,,,9,,,
192,Hong Kong,Hong Kong,,,1/26/2020 16:00,,,8,,,
193,Mainland China,Inner Mongolia,,,1/26/2020 16:00,,,7,,,
194,Mainland China,Gansu,,,1/26/2020 16:00,,,7,,,
195,Mainland China,Guizhou,,,1/26/2020 16:00,,,5,,,
196,Macau,Macau,,,1/26/2020 16:00,,,5,,,
197,Mainland China,Ningxia,,,1/26/2020 16:00,,,4,,,
198,Mainland China,Jilin,,,1/26/2020 16:00,,,4,,,
199,Taiwan,Taiwan,,,1/26/2020 16:00,,,4,,,
200,Mainland China,Xinjiang,,,1/26/2020 16:00,,,4,,,
201,Mainland China,Qinghai,,,1/26/2020 16:00,,,1,,,
202,US,Washington,,,1/26/2020 16:00,,,1,,,
203,US,Illinois,,,1/26/2020 16:00,,,1,,,
204,US,California,,,1/26/2020 16:00,,,2,,,
205,US,Arizona,,,1/26/2020 16:00,,,1,,,
206,Japan,,,,1/26/2020 16:00,,,4,,1,
207,Thailand,,,,1/26/2020 16:00,,,8,,2,
208,South Korea,,,,1/26/2020 16:00,,,3,,,
209,Singapore,,,,1/26/2020 16:00,,,4,,,
210,Vietnam,,,,1/26/2020 16:00,,,2,,,
